epoch,test_acc@1,test_acc@5
1,59.18,96.37
2,67.05,97.83
3,70.89999999999999,98.1
4,72.99,98.53
5,74.22,98.59
6,76.02,98.61999999999999
7,76.69,98.86
8,78.07,98.91
9,78.64999999999999,98.89
10,79.33,99.02
11,81.02000000000001,99.11999999999999
12,81.36,99.17
13,82.12,99.2
14,82.6,99.2
15,83.03,99.38
16,83.12,99.31
17,83.84,99.33
18,83.83,99.42999999999999
19,84.87,99.39
20,84.47,99.35000000000001
21,85.33,99.5
22,85.56,99.42
23,85.78,99.41
24,85.57000000000001,99.42
25,85.99,99.47
26,86.19,99.53
27,86.83999999999999,99.53999999999999
28,86.41,99.48
29,86.85000000000001,99.55000000000001
30,87.03999999999999,99.51
31,86.68,99.59
32,87.35000000000001,99.58
33,87.72,99.57000000000001
34,87.57000000000001,99.61
35,87.79,99.59
36,87.48,99.53999999999999
37,87.5,99.62
38,87.79,99.52
39,88.09,99.53
40,87.18,99.58
41,88.03,99.58
42,87.74,99.49
43,87.83999999999999,99.62
44,88.06,99.53999999999999
45,87.85,99.55000000000001
46,87.98,99.53999999999999
47,88.67,99.61
48,88.2,99.62
49,88.44999999999999,99.62
50,88.75,99.62
