epoch,test_acc@1,test_acc@5
1,58.77,96.53
2,65.84,97.57000000000001
3,70.44,98.11999999999999
4,71.27,98.21
5,73.1,98.42999999999999
6,74.38,98.50999999999999
7,76.33,98.66
8,76.81,98.91
9,77.24,98.83
10,78.24,98.83
11,78.86999999999999,99.0
12,79.7,99.08
13,80.28,99.09
14,80.88,99.21
15,81.14,99.16
16,81.36,99.24
17,81.78,99.22
18,82.62,99.33
19,82.66,99.31
20,82.97,99.26
21,82.93,99.3
22,83.76,99.39
23,83.74000000000001,99.5
24,83.94,99.48
25,84.31,99.52
26,84.59,99.42
27,84.57000000000001,99.45
28,84.6,99.45
29,85.24000000000001,99.46000000000001
30,85.13,99.56
31,85.55,99.53
32,85.38,99.5
33,85.74000000000001,99.5
34,85.74000000000001,99.5
35,85.76,99.56
36,86.02,99.53999999999999
37,86.24000000000001,99.57000000000001
38,86.26,99.55000000000001
39,86.42999999999999,99.51
40,86.28,99.57000000000001
41,86.36,99.53999999999999
42,86.42999999999999,99.53999999999999
43,86.47,99.53999999999999
44,86.53,99.53
45,86.55000000000001,99.53999999999999
